idCode,hxcf,hxcfen,ypmc,ypmcen,slh,jx,gytj,gg,cbzj,pzwh,scpzrq,ssxkzcyr,sccs,ssxszt,sllb,jpxzl,smsContent,smsAttname,source_url,cid,cas
b7de65d7bf931d3c91ef7b73d43f7c5b,氨甲环酸/氯化钠,Tranexamic Acid and Sodium Chloride,氨甲环酸氯化钠注射液,Tranexamic Acid and Sodium Chloride Injection,CYHB2350463,注射剂,注射,100ml：氨甲环酸1g与氯化钠0.7g,否,国药准字H20193137,2024-10-23,赤峰源生药业有限公司,赤峰源生药业有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/b7de65d7bf931d3c91ef7b73d43f7c5b,,
3cd203ab1acf131e167aaa5ed98ec799,富马酸喹硫平,Quetiapine Fumarate,富马酸喹硫平片,Quetiapine Fumarate Tablets,CYHS2302362,片剂,口服,100mg（按C<sub>21</sub>H<sub>25</sub>N<sub>3</sub>O<sub>2</sub>S计）,否,国药准字H20249365,2024-11-15,成都康弘药业集团股份有限公司,成都康弘药业集团股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/3cd203ab1acf131e167aaa5ed98ec799,5281025,111974-72-2
37f7e26bbbc29335943b494d688c3296,甲磺酸达比加群酯,Dabigatran Etexilate,达比加群酯胶囊,Dabigatran Etexilate Capsules,JYHS2000003,胶囊剂/Capsules,口服,110mg（以达比加群酯计）,否,国药准字HJ20240155,2024-12-01,Hetero Labs Limited,Hetero Labs Limited,新批准暂未销售,按化学药品新注册分类批准的仿制药,B01AE07,,,https://www.cde.org.cn/hymlj/detailPage/37f7e26bbbc29335943b494d688c3296,135565674,211915-06-9
6c57cbe4dbe6d84862805353acac2c30,磷酸奥司他韦,Oseltamivir Phosphate,磷酸奥司他韦胶囊 ,Oseltamivir Phosphate Capsules ,CYHS2400689,胶囊剂,口服,75mg（按C16H28N2O4计）,否,国药准字H20249658,2024-12-01,浙江普洛康裕制药有限公司,浙江普洛康裕制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/6c57cbe4dbe6d84862805353acac2c30,78000,204255-11-8
aa65b09f175d28aec54323f4f97c9dc5,硫酸异帕米星,Isepamicin Sulfate,硫酸异帕米星注射液 ,Isepamicin Sulfate Injection ,CYHS2300736,注射剂,注射,2ml: 0.2g（按C22H43N5O12计）,否,国药准字H20249397,2024-11-15,北京吉洛华制药有限公司,重庆药友制药有限责任公司,新批准暂未销售,其他药品,,,,https://www.cde.org.cn/hymlj/detailPage/aa65b09f175d28aec54323f4f97c9dc5,636375,67814-76-0
7cffe210387419f302eb1402f55acb3c,硝酸异山梨酯,Isosorbide Dinitrate ,硝酸异山梨酯注射液,Isosorbide Dinitrate Injection,CYHS2302455,注射剂,静脉注射,10ml:10mg,否,国药准字H20249434,2024-11-22,辰欣药业股份有限公司,辰欣药业股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/7cffe210387419f302eb1402f55acb3c,6883,87-33-2
c8ebb866486ba1ab364d6f3a9f2a2658,苯磺酸左氨氯地平,Levamlodipine Besilate,苯磺酸左氨氯地平片,Levamlodipine Besilate Tablets,CYHS2302329,片剂,口服,5mg（按C20H25ClN2O5计）,否,国药准字H20249815,2024-12-25,四川省旭晖制药有限公司,四川省旭晖制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/c8ebb866486ba1ab364d6f3a9f2a2658,,
176983bc149435c19d9600621bb8e15e,氯化钾,Potassium Chloride,氯化钾注射液,Potassium Chloride Injection,CYHB2450230,注射剂,注射,10ml：1.5g,否,国药准字H20247305,2024-12-05,遂成药业股份有限公司,遂成药业股份有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/176983bc149435c19d9600621bb8e15e,4873,7447-40-7
178f8970cf453f4f2013a4011366e12a,培美曲塞二钠,,注射用培美曲塞二钠,Pemetrexed Disodium for Injection,CYHS2302050,注射剂,静脉注射,0.2g（按C20H21N5O6计）,否,国药准字H20249345,2024-11-15,江苏神曲医药有限公司,连云港杰瑞药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/178f8970cf453f4f2013a4011366e12a,445063,131-48-6
eddb3a0a33f8ef2fe69a570a31618a64,氨甲环酸,Tranexamic Acid,氨甲环酸注射液,Tranexamic Acid Injection,CYHS2301434,注射剂,注射,5ml:0.25g,否,国药准字H20249630,2024-12-01,广州泽盛药业科技有限公司,山东辉成药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/eddb3a0a33f8ef2fe69a570a31618a64,5526,1197-18-8
