idCode,hxcf,hxcfen,ypmc,ypmcen,slh,jx,gytj,gg,cbzj,pzwh,scpzrq,ssxkzcyr,sccs,ssxszt,sllb,jpxzl,smsContent,smsAttname,source_url
666c196e46c401169fad716341696730,磷酸西格列汀; 盐酸二甲双胍,Sitagliptin Phosphate; Metformin Hydrochloride,西格列汀二甲双胍片（Ⅰ）,Sitagliptin Phosphate/metformin Hydrochloride Tablets,JXHS1100066,片剂,口服,磷酸西格列汀50mg（以游离碱计）和盐酸二甲双胍500mg,是,H20140774,2012-07-23,MSD Pharma (Singapore) Pte.Ltd,Patheon Puerto Rico， Inc. (Manati),上市销售中,进口原研药品,A10BD07,,,https://www.cde.org.cn/hymlj/detailPage/666c196e46c401169fad716341696730
20213889cc86895770803c024c93c19a,磷酸西格列汀; 盐酸二甲双胍,Sitagliptin Phosphate; Metformin Hydrochloride,西格列汀二甲双胍片（Ⅱ）,Sitagliptin Phosphate/metformin Hydrochloride Tablets,JXHS1100067,片剂,口服,磷酸西格列汀50mg（以游离碱计）和盐酸二甲双胍850mg,是,H20140775,2012-07-23,MSD Pharma (Singapore) Pte.Ltd,Patheon Puerto Rico， Inc. (Manati),上市销售中,进口原研药品,A10BD07,,,https://www.cde.org.cn/hymlj/detailPage/20213889cc86895770803c024c93c19a
552cbd36b32eea8e1af65dd455a55de5,西罗莫司,Sirolimus ,西罗莫司片,Sirolimus Tablets,JYHB1000475,片剂,口服,0.5mg,是,H20140706,2014-09-24,Wyeth Pharmaceuticals Inc.,Wyeth Pharmaceuticals Company,暂停销售,进口原研药品,L04AA10,,,https://www.cde.org.cn/hymlj/detailPage/552cbd36b32eea8e1af65dd455a55de5
bc9991fcf48fab2ec26f7fffccafb487,西罗莫司,Sirolimus ,西罗莫司片,Sirolimus Tablets,JXHS0600001,片剂,口服,1mg/片,是,H20130697; H20130698,2007-04-03,Pfizer Limited,Pfizer Ireland Pharmaceuticals,上市销售中,进口原研药品,L04AA10,,,https://www.cde.org.cn/hymlj/detailPage/bc9991fcf48fab2ec26f7fffccafb487
4e85bc04b59e75f89bd846904b133a24,硝苯地平,Nifedipine,硝苯地平控释片,Nifedipine Controlled-release Tablets,,片剂,口服,30mg,是,H20130332,1994-11-02,Bayer Pharma AG,Bayer Pharma AG,上市销售中,进口原研药品 ,C08CA05,,,https://www.cde.org.cn/hymlj/detailPage/4e85bc04b59e75f89bd846904b133a24
5b4e4875b688ff25014746e482affac2,硝苯地平,Nifedipine,硝苯地平控释片,Nifedipine Controlled-release Tablets,,片剂,口服,60mg,是,H20130334,1994-11-02,Bayer Pharma AG,Bayer Pharma AG,上市销售中,进口原研药品 ,C08CA05,,,https://www.cde.org.cn/hymlj/detailPage/5b4e4875b688ff25014746e482affac2
1c48e66fee42f0b0c14bf98948a0f381,硝酸甘油,Nitroglycerin,硝酸甘油舌下片,Nitroglycerin Sublingual Tablets,,片剂,口服,0.6mg,是,H20171217,1994-11-07,Pfizer Inc.,Pfizer Pharmaceuticals LLC,上市销售中,进口原研药品 ,无,,,https://www.cde.org.cn/hymlj/detailPage/1c48e66fee42f0b0c14bf98948a0f381
8e1e0c145a80fb55009bdf86ce93a508,缬沙坦; 氢氯噻嗪,Valsartan; Hydrochlorothiazide ,缬沙坦氢氯噻嗪片,Valsartan and Hydrochlorothiazide Tablets,,片剂,口服,每片含缬沙坦80mg与氢氯噻嗪12.5mg,是,H20150055,2004-10-21,Novartis Pharma Schweiz AG,Novartis Farma S.p.A.(I),上市销售中,进口原研药品,C09CA03 C03AA03,,,https://www.cde.org.cn/hymlj/detailPage/8e1e0c145a80fb55009bdf86ce93a508
8eab7a099135eb60cebb678adfec6587,辛伐他汀,Simvastatin ,辛伐他汀片,Simvastatin Tablets,,片剂 ,口服,20mg,是,H20130146,1992-08-31,Merck Sharp & Dohme B.V.,Merck Sharp & Dohme Limited,上市销售中,进口原研药品 ,C10AA01,,,https://www.cde.org.cn/hymlj/detailPage/8eab7a099135eb60cebb678adfec6587
e1992b2302e3c611c7de15926e0b0606,辛伐他汀,Simvastatin ,辛伐他汀片,Simvastatin Tablets,,片剂 ,口服,40mg,是,H20160429,2002-01-25,Merck Sharp & Dohme B.V.,Merck Sharp & Dohme Limited,上市销售中,进口原研药品 ,C10AA01,,,https://www.cde.org.cn/hymlj/detailPage/e1992b2302e3c611c7de15926e0b0606
