active_ingredients,company,dosage_from_route,drug_application_no,drug_name,drug_type,last_updated,marketing_status,rld,rs,strength,te_code,website_info_urls
FUROSEMIDE,AVET LIFESCIENCES,INJECTABLE;INJECTION,203428,FUROSEMIDE,ANDA,20250915_095650,Prescription,No,No,10MG/ML,AP,
DOXYCYCLINE,LUPIN,CAPSULE;ORAL,216631,DOXYCYCLINE,ANDA,20250915_095652,Prescription,No,No,40MG,AB,
DAPAGLIFLOZIN; SAXAGLIPTIN,MSN LABS PVT LTD,TABLET; ORAL,211533,DAPAGLIFLOZIN AND SAXAGLIPTIN,ANDA,20250915_095653,None (Tentative Approval),No,No,10MG/5MG,,
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095653,Prescription,No,No,600MG,AB1,
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095654,Prescription,No,No,800MG,AB1,
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095654,Prescription,No,No,100MG,AB1,
GABAPENTIN,STRIDES PHARMA,TABLET;ORAL,211313,GABAPENTIN,ANDA,20250915_095654,Prescription,No,No,400MG,AB1,
MACITENTAN,AUROBINDO PHARMA LTD,TABLET;ORAL,211198,MACITENTAN,ANDA,20250915_095655,Discontinued,No,No,10MG,,
DOXYCYCLINE,MACLEODS PHARMS LTD,CAPSULE;ORAL,210381,DOXYCYCLINE,ANDA,20250915_095655,Prescription,No,No,40MG,AB,
TEDUGLUTIDE,TAKEDA PHARMS USA,POWDER;SUBCUTANEOUS,203441,GATTEX KIT,NDA,20250915_095657,Prescription,Yes,Yes,5MG/VIAL,,
PAZOPANIB HYDROCHLORIDE,TORRENT,TABLET;ORAL,219922,PAZOPANIB HYDROCHLORIDE,ANDA,20250915_095658,Prescription,No,No,EQ 400MG BASE,,
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,1.5MG,AB,
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,3MG,AB,
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,6MG,AB,
PALIPERIDONE,ESKAYEF,"TABLET, EXTENDED RELEASE;ORAL",218755,PALIPERIDONE,ANDA,20250915_095659,Prescription,No,No,9MG,AB,
TACROLIMUS,CHENGDU,"CAPSULE, EXTENDED RELEASE;ORAL",215012,TACROLIMUS,ANDA,20250915_095659,Prescription,No,No,EQ 0.5MG BASE,AB,
TACROLIMUS,CHENGDU,"CAPSULE, EXTENDED RELEASE;ORAL",215012,TACROLIMUS,ANDA,20250915_095659,Prescription,No,No,EQ 1MG BASE,AB,
TACROLIMUS,CHENGDU,"CAPSULE, EXTENDED RELEASE;ORAL",215012,TACROLIMUS,ANDA,20250915_095659,Prescription,No,No,EQ 5MG BASE,AB,
MELPHALAN HYDROCHLORIDE,DELCATH SYSTEMS INC,POWDER;INTRA-ARTERIAL,201848,HEPZATO,NDA,20250915_095700,Prescription,Yes,Yes,EQ 50MG BASE/VIAL,,
SELEGILINE HYDROCHLORIDE,CHARTWELL MOLECULES,TABLET;ORAL,074565,SELEGILINE HYDROCHLORIDE,ANDA,20250915_095701,Discontinued,No,No,5MG,,
VIGABATRIN,PYROS PHARMS,SOLUTION;ORAL,217684,VIGAFYDE,NDA,20250915_095704,Prescription,Yes,Yes,100MG/ML,,
ZIPRASIDONE MESYLATE,STERISCIENCE,POWDER;INTRAMUSCULAR,217595,ZIPRASIDONE MESYLATE,ANDA,20250915_095705,Prescription,No,No,EQ 20MG BASE/VIAL,AP,
SAPROPTERIN DIHYDROCHLORIDE,HOPEWELL PHARMA,POWDER;ORAL,216432,SAPROPTERIN DIHYDROCHLORIDE,ANDA,20250915_095706,Prescription,No,No,100MG/PACKET,AB,
SAPROPTERIN DIHYDROCHLORIDE,HOPEWELL PHARMA,POWDER;ORAL,216432,SAPROPTERIN DIHYDROCHLORIDE,ANDA,20250915_095706,Prescription,No,No,500MG/PACKET,AB,
QUETIAPINE FUMARATE,AMNEAL PHARMS,"TABLET, EXTENDED RELEASE;ORAL",211405,QUETIAPINE FUMARATE,ANDA,20250915_095708,Discontinued,No,No,EQ 400MG BASE,,
OLANZAPINE,EUGIA PHARMA,INJECTABLE;INTRAMUSCULAR,210968,OLANZAPINE,ANDA,20250915_095708,Prescription,No,No,10MG/VIAL,AP,
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,No,50MG,AB,
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,Yes,100MG,AB,
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,No,25MG,,
TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH,TABLET;ORAL,208708,TRAMADOL HYDROCHLORIDE,ANDA,20250915_095709,Prescription,No,No,75MG,,
IMIQUIMOD,TARO,CREAM;TOPICAL,205971,IMIQUIMOD,ANDA,20250915_095710,Prescription,No,No,3.75%,AB,
LACOSAMIDE,SCIEGEN PHARMS INC,TABLET;ORAL,205237,LACOSAMIDE,ANDA,20250915_095711,Prescription,No,No,50MG,AB,
LACOSAMIDE,SCIEGEN PHARMS INC,TABLET;ORAL,205237,LACOSAMIDE,ANDA,20250915_095711,Prescription,No,No,100MG,AB,
LACOSAMIDE,SCIEGEN PHARMS INC,TABLET;ORAL,205237,LACOSAMIDE,ANDA,20250915_095711,Prescription,No,No,150MG,AB,
LACOSAMIDE,SCIEGEN PHARMS INC,TABLET;ORAL,205237,LACOSAMIDE,ANDA,20250915_095711,Prescription,No,No,200MG,AB,
PALIPERIDONE,AMNEAL PHARMS,"TABLET, EXTENDED RELEASE;ORAL",204707,PALIPERIDONE,ANDA,20250915_095711,Prescription,No,No,1.5MG,AB,
PALIPERIDONE,AMNEAL PHARMS,"TABLET, EXTENDED RELEASE;ORAL",204707,PALIPERIDONE,ANDA,20250915_095711,Prescription,No,No,3MG,AB,
PALIPERIDONE,AMNEAL PHARMS,"TABLET, EXTENDED RELEASE;ORAL",204707,PALIPERIDONE,ANDA,20250915_095711,Prescription,No,No,6MG,AB,
PALIPERIDONE,AMNEAL PHARMS,"TABLET, EXTENDED RELEASE;ORAL",204707,PALIPERIDONE,ANDA,20250915_095711,Prescription,No,No,9MG,AB,
LAMOTRIGINE,IPCA LABS,TABLET;ORAL,204499,LAMOTRIGINE,ANDA,20250915_095712,Prescription,No,No,25MG,AB,
LAMOTRIGINE,IPCA LABS,TABLET;ORAL,204499,LAMOTRIGINE,ANDA,20250915_095712,Prescription,No,No,100MG,AB,
LAMOTRIGINE,IPCA LABS,TABLET;ORAL,204499,LAMOTRIGINE,ANDA,20250915_095712,Prescription,No,No,150MG,AB,
LAMOTRIGINE,IPCA LABS,TABLET;ORAL,204499,LAMOTRIGINE,ANDA,20250915_095712,Prescription,No,No,200MG,AB,
FLUOCINOLONE ACETONIDE,PADAGIS ISRAEL,OIL;TOPICAL,202847,FLUOCINOLONE ACETONIDE,ANDA,20250915_095715,Prescription,No,No,0.01%,AT,
DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE,CHARTWELL MOLECULAR,SOLUTION/DROPS;OPHTHALMIC,201998,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,ANDA,20250915_095716,Discontinued,No,No,EQ 2% BASE;EQ 0.5% BASE,,
FLUOCINOLONE ACETONIDE,AMNEAL,OIL;TOPICAL,201764,FLUOCINOLONE ACETONIDE,ANDA,20250915_095717,Discontinued,No,No,0.01%,,
METOPROLOL TARTRATE,RENATA,TABLET;ORAL,074453,METOPROLOL TARTRATE,ANDA,20250915_095721,Prescription,No,No,50MG,AB,
METOPROLOL TARTRATE,RENATA,TABLET;ORAL,074453,METOPROLOL TARTRATE,ANDA,20250915_095721,Prescription,No,No,100MG,AB,
TOPIRAMATE,AJANTA PHARMA LTD,"CAPSULE, EXTENDED RELEASE;ORAL",219564,TOPIRAMATE,ANDA,20250915_095723,Prescription,No,No,25MG,AB2,
TOPIRAMATE,AJANTA PHARMA LTD,"CAPSULE, EXTENDED RELEASE;ORAL",219564,TOPIRAMATE,ANDA,20250915_095723,Prescription,No,No,50MG,AB2,
TOPIRAMATE,AJANTA PHARMA LTD,"CAPSULE, EXTENDED RELEASE;ORAL",219564,TOPIRAMATE,ANDA,20250915_095723,Prescription,No,No,100MG,AB2,
TOPIRAMATE,AJANTA PHARMA LTD,"CAPSULE, EXTENDED RELEASE;ORAL",219564,TOPIRAMATE,ANDA,20250915_095723,Prescription,No,No,150MG,AB2,
TOPIRAMATE,AJANTA PHARMA LTD,"CAPSULE, EXTENDED RELEASE;ORAL",219564,TOPIRAMATE,ANDA,20250915_095723,Prescription,No,No,200MG,AB2,
TASIMELTEON,MSN LABORATORIES PRIVATE LTD,SUSPENSION,219541,TASIMELTEON,ANDA,20250915_095724,None (Tentative Approval),No,No,4MG/1ML,,
MILRINONE LACTATE,CAPLIN,INJECTABLE;INJECTION,219170,MILRINONE LACTATE IN DEXTROSE 5%,ANDA,20250915_095725,Prescription,No,No,EQ 20MG BASE/100ML (EQ 0.2MG BASE/ML),AP,
MILRINONE LACTATE,CAPLIN,INJECTABLE;INJECTION,219170,MILRINONE LACTATE IN DEXTROSE 5%,ANDA,20250915_095725,Prescription,No,No,EQ 40MG BASE/200ML (EQ 0.2MG BASE/ML),AP,
PITOLISANT,ANNORA PHARMA PRIVATE LIMITED,TABLET,218832,PITOLISANT,ANDA,20250915_095726,None (Tentative Approval),No,No,4.45MG,,
PITOLISANT,ANNORA PHARMA PRIVATE LIMITED,TABLET,218832,PITOLISANT,ANDA,20250915_095726,None (Tentative Approval),No,No,17.8MG,,
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,12.5MG/VIAL,AB,
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,25MG/VIAL,AB,
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,37.5MG/VIAL,AB,
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,50MG/VIAL,AB,
RISPERIDONE,NANOMI,INJECTABLE;INTRAMUSCULAR,211220,RISPERIDONE,ANDA,20250915_095728,Prescription,No,No,25MG/VIAL,AB,
RISPERIDONE,NANOMI,INJECTABLE;INTRAMUSCULAR,211220,RISPERIDONE,ANDA,20250915_095728,Prescription,No,No,37.5MG/VIAL,AB,
RISPERIDONE,NANOMI,INJECTABLE;INTRAMUSCULAR,211220,RISPERIDONE,ANDA,20250915_095728,Prescription,No,No,50MG/VIAL,AB,
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",091272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 37.5MG BASE,,
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",091272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 75MG BASE,,
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",091272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 150MG BASE,,
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",091272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 225MG BASE,,
DIVALPROEX SODIUM,MYLAN,"TABLET, EXTENDED RELEASE;ORAL",077567,DIVALPROEX SODIUM,ANDA,20250915_095731,Prescription,No,No,EQ 250MG VALPROIC ACID,AB,
DIVALPROEX SODIUM,MYLAN,"TABLET, EXTENDED RELEASE;ORAL",077567,DIVALPROEX SODIUM,ANDA,20250915_095731,Prescription,No,No,EQ 500MG VALPROIC ACID,AB,
AMPICILLIN/AMPICILLIN TRIHYDRATE,SANDOZ,CAPSULE;ORAL,064082,AMPICILLIN TRIHYDRATE,ANDA,20250915_095732,Discontinued,No,No,EQ 250MG BASE,,
AMPICILLIN/AMPICILLIN TRIHYDRATE,SANDOZ,CAPSULE;ORAL,064082,AMPICILLIN TRIHYDRATE,ANDA,20250915_095732,Prescription,No,Yes,EQ 500MG BASE,AB,
EXENATIDE SYNTHETIC,ASTRAZENECA AB,INJECTABLE;SUBCUTANEOUS,021773,BYETTA,NDA,20250915_095733,Discontinued,Yes,No,300MCG/1.2ML (250MCG/ML),,
EXENATIDE SYNTHETIC,ASTRAZENECA AB,INJECTABLE;SUBCUTANEOUS,021773,BYETTA,NDA,20250915_095733,Discontinued,Yes,No,600MCG/2.4ML (250MCG/ML),,
