active_ingredients,company,dosage_from_route,drug_application_no,drug_name,drug_type,last_updated,marketing_status,rld,rs,strength,te_code,website_info_urls,cid,smiles
TASIMELTEON,MSN LABORATORIES PRIVATE LTD,SUSPENSION,219541,TASIMELTEON,ANDA,20250915_095724,None (Tentative Approval),No,No,4MG/1ML,,,10220503.0,CCC(=O)NCC1CC1C2=C3CCOC3=CC=C2
MILRINONE LACTATE,CAPLIN,INJECTABLE;INJECTION,219170,MILRINONE LACTATE IN DEXTROSE 5%,ANDA,20250915_095725,Prescription,No,No,EQ 20MG BASE/100ML (EQ 0.2MG BASE/ML),AP,,,
MILRINONE LACTATE,CAPLIN,INJECTABLE;INJECTION,219170,MILRINONE LACTATE IN DEXTROSE 5%,ANDA,20250915_095725,Prescription,No,No,EQ 40MG BASE/200ML (EQ 0.2MG BASE/ML),AP,,,
PITOLISANT,ANNORA PHARMA PRIVATE LIMITED,TABLET,218832,PITOLISANT,ANDA,20250915_095726,None (Tentative Approval),No,No,4.45MG,,,9948102.0,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl
PITOLISANT,ANNORA PHARMA PRIVATE LIMITED,TABLET,218832,PITOLISANT,ANDA,20250915_095726,None (Tentative Approval),No,No,17.8MG,,,9948102.0,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,12.5MG/VIAL,AB,,5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,25MG/VIAL,AB,,5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,37.5MG/VIAL,AB,,5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
RISPERIDONE,AMNEAL,INJECTABLE;INTRAMUSCULAR,218586,RISPERIDONE,ANDA,20250915_095727,Prescription,No,No,50MG/VIAL,AB,,5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
RISPERIDONE,NANOMI,INJECTABLE;INTRAMUSCULAR,211220,RISPERIDONE,ANDA,20250915_095728,Prescription,No,No,25MG/VIAL,AB,,5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
RISPERIDONE,NANOMI,INJECTABLE;INTRAMUSCULAR,211220,RISPERIDONE,ANDA,20250915_095728,Prescription,No,No,37.5MG/VIAL,AB,,5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
RISPERIDONE,NANOMI,INJECTABLE;INTRAMUSCULAR,211220,RISPERIDONE,ANDA,20250915_095728,Prescription,No,No,50MG/VIAL,AB,,5073.0,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",91272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 37.5MG BASE,,,62923.0,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O.Cl
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",91272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 75MG BASE,,,62923.0,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O.Cl
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",91272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 150MG BASE,,,62923.0,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O.Cl
VENLAFAXINE HYDROCHLORIDE,SUN PHARM,"TABLET, EXTENDED RELEASE;ORAL",91272,VENLAFAXINE HYDROCHLORIDE,ANDA,20250915_095729,Discontinued,No,No,EQ 225MG BASE,,,62923.0,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O.Cl
DIVALPROEX SODIUM,MYLAN,"TABLET, EXTENDED RELEASE;ORAL",77567,DIVALPROEX SODIUM,ANDA,20250915_095731,Prescription,No,No,EQ 250MG VALPROIC ACID,AB,,23663956.0,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
DIVALPROEX SODIUM,MYLAN,"TABLET, EXTENDED RELEASE;ORAL",77567,DIVALPROEX SODIUM,ANDA,20250915_095731,Prescription,No,No,EQ 500MG VALPROIC ACID,AB,,23663956.0,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
AMPICILLIN/AMPICILLIN TRIHYDRATE,SANDOZ,CAPSULE;ORAL,64082,AMPICILLIN TRIHYDRATE,ANDA,20250915_095732,Discontinued,No,No,EQ 250MG BASE,,,23565.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C.O.O.O
AMPICILLIN/AMPICILLIN TRIHYDRATE,SANDOZ,CAPSULE;ORAL,64082,AMPICILLIN TRIHYDRATE,ANDA,20250915_095732,Prescription,No,Yes,EQ 500MG BASE,AB,,23565.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C.O.O.O
EXENATIDE SYNTHETIC,ASTRAZENECA AB,INJECTABLE;SUBCUTANEOUS,21773,BYETTA,NDA,20250915_095733,Discontinued,Yes,No,300MCG/1.2ML (250MCG/ML),,,45588096.0,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NCC(=O)NCC(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N6CCCC6C(=O)NC(CO)C(=O)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC8=CC=CC=C8)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC9=CNC=N9)N
EXENATIDE SYNTHETIC,ASTRAZENECA AB,INJECTABLE;SUBCUTANEOUS,21773,BYETTA,NDA,20250915_095733,Discontinued,Yes,No,600MCG/2.4ML (250MCG/ML),,,45588096.0,CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NCC(=O)NCC(=O)N3CCCC3C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N4CCCC4C(=O)N5CCCC5C(=O)N6CCCC6C(=O)NC(CO)C(=O)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC8=CC=CC=C8)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC9=CNC=N9)N
