药物名称,熔点,沸点,闪点,密度,水溶解性,外观性状,LogP,PSA,可旋转化学键数量,氢键受体数量,氢键供体数量,重原子数量,环数,拓扑分子极性表面积（TPSA）
628-62-6,96 °C,254ºC at 760 mmHg,110.9ºC,0.891g/cm3,,,2.14240,43.09000,,,,,,
629-25-4,43.8ºC,296.1ºC at 760 mmHg,134.1ºC,1.102 g/cm3,,略黄色粉末,2.65720,40.13000,,,,,,
629-93-6,33-35 °C(lit.),194-197 °C2 mm Hg(lit.),110 °C,1.104 g/cm3,,淡黄色结晶,7.68290,,,,,,,
645-62-5,,175ºC,68ºC,0.85 g/cm3,,无色液体带有一种强烈的气味,2.32180,17.07000,4,1,0,9,,17.1
660-49-1,,279.5±25.0 °C at 760 mmHg,122.8±23.2 °C,2.0±0.1 g/cm3,,,3.20,26.02000,,,,,,
691-38-3,-134.4ºC,57-58ºC(lit.),-28 °F,0.686 g/mL at 20ºC(lit.),,液体;Colorless to Almost colorless clear liquid,2.21850,,,,,,,
696-22-0,236-240ºC,388.8ºC at 760 mmHg,188.9ºC,1.404 g/cm3,,,0.41630,65.98000,,,,,,
696-74-2,139-140ºC,305.8ºC at 760 mmHg,153ºC,1.673g/cm3,,,,74.60000,,,,,,
696-80-0,,220.3ºC at 760 mmHg,87ºC,1.293g/cm3,,,1.06320,25.78000,,,,,,
705-02-2,,297.6ºC at 760 mmHg,133.8ºC,1.36g/cm3,,,2.00240,62.60000,,,,,,
705-95-3,,227.1ºC at 760 mmHg,103.2ºC,1.036g/cm3,,,2.29590,26.30000,,,,,,
732-26-3,125-130 °C(lit.),278.0±0.0 °C at 760 mmHg,129.3±8.4 °C,0.9±0.1 g/cm3,insoluble,黄色结晶粉末,6.55,20.23000,,,,,,
735-52-4,,,,,,,1.59430,86.63000,,,,,,
756-81-0,,95ºC,,0.712g/cm3,,,2.73460,,,,,,,
766-90-5,-60ºC,167.5±0.0 °C at 760 mmHg,60.0±0.0 °C,0.9±0.1 g/cm3,,液体;Colorless to Almost colorless clear liquid,3.22,,,,,,,
774-65-2,,54ºC / 1mmHg,100.4ºC,1 g/cm3,,,2.64190,26.30000,,,,,,
825-99-0,126-130ºC,321.5±25.0 °C at 760 mmHg,148.2±23.2 °C,1.3±0.1 g/cm3,,白色-极淡的黄色晶体-粉末,2.46,62.60000,,,,,,
826-62-0,158-164ºC,331.1±42.0 °C at 760 mmHg,163.8±25.1 °C,1.4±0.1 g/cm3,,白色固体,-0.04,43.37000,,,,,,
83-45-4,,471.9ºC at 760 mmHg,197.1ºC,0.948g/cm3,,,8.10470,20.23000,,,,,,
89-72-5,12 °C(lit.),226-228 °C(lit.),234 °F,0.982 g/mL at 25 °C(lit.),Insoluble.,无色至淡黄色液体,2.90570,20.23000,,,,,,
93-53-8,60ºC,201ºC (12 torr),169 °F,1.01,,透明无色液体,1.98900,17.07000,,,,,,
96-76-4,53-56 °C(lit.),265.5±9.0 °C at 760 mmHg,115.0±0.0 °C,0.9±0.1 g/cm3,practically insoluble,透明至淡黄色半固体,4.86,20.23000,,,,,,
98-27-1,28-33ºC,244.6±9.0 °C at 760 mmHg,109.9±7.2 °C,1.0±0.1 g/cm3,,,3.63,20.23000,,,,,,
98-54-4,96-101 °C(lit.),233.7±9.0 °C at 760 mmHg,110.9±8.2 °C,1.0±0.1 g/cm3,8.7 g/L (20 ºC),白色结晶粉末有一种消毒剂的气味,3.17,20.23000,,,,,,
